gene_symbol,Bach2
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:894679
mouse_strain,C57BL
pvalue,0.1540626
analysis_id,bk90k851b91d5m2
parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
