gene_symbol,Pld1
mouse_strain,C57BL
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
pvalue,0.7522134
analysis_id,69jirl614511803
