analysis_id,zbb2887k21wt7u1
pvalue,0.7606861
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:2673000
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trim46
parameter_name,Heart weight
