parameter_name,Snout morphology
pvalue,0.836002
analysis_id,41vdz331x73h6pn
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:2443129
gene_symbol,Golm2
mouse_strain,C57BL
mouse_life_stage,Early adult
