parameter_name,Total cholesterol
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_015_001
gene_symbol,Inpp1
pvalue,0.1621395
analysis_id,y0j152otm77106g
gene_accession_id,MGI:104848
