parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_symbol,Dnajc5b
analysis_id,978o4lg12vg4y49
parameter_name,Total holepokes
pvalue,0.5092455
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
