analysis_id,abw3huovlh715wf
parameter_name,Mean cell volume
pvalue,0.1874451
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,ESLIM_016_001_005
gene_accession_id,MGI:2140475
