parameter_name,Periphery permanence time
pvalue,0.9358701
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_OFD_012_001
gene_accession_id,MGI:1918345
gene_symbol,Kif24
analysis_id,o9206z5piol0659
