gene_symbol,Kcng1
gene_accession_id,MGI:3616086
parameter_name,Sodium
mouse_strain,C54BL
pvalue,1.201389
analysis_id,9u58rk718mih739
parameter_id,IMPC_CBC_001_001
mouse_life_stage,Early adult
