analysis_id,56806vf8mi8m4h1
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
gene_symbol,Usp37
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
pvalue,0.8958761
