analysis_id,b6xz918wr2j1t04
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Lcn2
pvalue,0.4831824
parameter_id,IMPC_DXA_007_001
parameter_name,BMC/Body weight
