gene_symbol,Zc2hc1a
parameter_id,HMGULA_HWT_008_001
parameter_name,Heart weight
gene_accession_id,MGI:1914556
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5396mu7928q09xu
pvalue,0.0917529
