analysis_id,7lgmk7ingj7736d
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
gene_symbol,Eprs1
mouse_life_stage,E9.5
pvalue,0.6799495
gene_accession_id,MGI:97838
parameter_name,Cholesterol ratio
