parameter_name,Red blood cell count
analysis_id,o095v8a8bvpbn8r
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_002
gene_symbol,Cds2
pvalue,0.1583235
mouse_strain,129SV
gene_accession_id,MGI:1332236
