parameter_id,IMPC_ECH_008_001
analysis_id,146vga5rtd02itb
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
parameter_name,LVIDd
pvalue,1.163284
mouse_strain,129SV
