gene_symbol,Orc2
parameter_id,IMPC_OFD_018_001
parameter_name,Latency to center entry
pvalue,0.8077377
gene_accession_id,MGI:1328306
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,4mwi0ksk32h078i
