analysis_id,8wdddbt4gb7azw2
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_id,MGP_PBI_018_001
pvalue,0.61595
