analysis_id,ppyq5l5ck471sl2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Glucose
gene_symbol,Cntfr
parameter_id,HMGULA_CBC_018_001
pvalue,0.2832357
gene_accession_id,MGI:99605
