analysis_id,7k9zl6t773nd809
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ddx27
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.7535798
gene_accession_id,MGI:2385884
parameter_id,IMPC_DXA_004_001
