parameter_name,HDL-cholesterol
analysis_id,aj7zqwn5177t4ov
mouse_strain,C57BL
parameter_id,IMPC_CBC_016_001
gene_symbol,Slc30a4
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
pvalue,1.295653
