gene_symbol,Dnajc8
parameter_name,Body position
pvalue,0.7194442
mouse_life_stage,Early adult
analysis_id,g464r8gh9v23s2j
parameter_id,ESLIM_008_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1915848
