analysis_id,vmy341m5ehi6ct7
gene_accession_id,MGI:95835
gene_symbol,Hspa5
parameter_name,BMC/Body weight
parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.0520125
