gene_symbol,Casq1
mouse_life_stage,Early adult
analysis_id,8s0sv38zro78lx7
parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
pvalue,0.2265364
gene_accession_id,MGI:1309468
mouse_strain,C57BL
