analysis_id,l4c52426j279b20
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_name,PP1 + pulse startle magnitude
gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.6019915
