gene_symbol,Zyg11b
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_id,MGP_MLN_006_001
mouse_strain,C57BL
analysis_id,576qb00wn47f4c5
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.1848653
