gene_symbol,Nanp
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
mouse_life_stage,E18.5
pvalue,0.7695025
gene_accession_id,MGI:1914561
mouse_strain,C57BL
analysis_id,d0r497u95w96x7r
