analysis_id,5uw461267fuwz9z
gene_accession_id,MGI:1915033
parameter_id,IMPC_ABR_008_001
gene_symbol,Ahctf1
pvalue,0.1244983
mouse_life_stage,Early adult
mouse_strain,C56BL
parameter_name,18kHz-evoked ABR Threshold
