parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
analysis_id,38r79rovi137n2u
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
pvalue,0.6047497
mouse_strain,C57BL
