parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
gene_symbol,Ssr2
mouse_life_stage,Early adult
pvalue,0.1346233
gene_accession_id,MGI:1913506
mouse_strain,C57BL
analysis_id,72u1u883lsyu48p
