analysis_id,n19l416t54oin18
parameter_id,MGP_IMM_010_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
parameter_name,Effector Treg cells - % of Treg
pvalue,0.6530442
gene_symbol,Rab13
