gene_symbol,Rnf114
analysis_id,o1dcog72enn070g
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery permanence time
gene_accession_id,MGI:1933159
parameter_id,IMPC_OFD_012_001
pvalue,0.1303531
