gene_symbol,Dcaf10
parameter_id,M-G-P_013_001_001
mouse_life_stage,Early adult
parameter_name,Eye
gene_accession_id,MGI:2140179
pvalue,0.6497738
mouse_strain,C57BL
analysis_id,f1575ucr45269f8
