parameter_name,Shape of ribcage
gene_symbol,Ppm1j
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
analysis_id,04n07u3o0w79og9
pvalue,0.1644484
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
