gene_symbol,Npbwr1
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
parameter_name,Lean mass
analysis_id,f5at6jm1yxlp46t
pvalue,0.1573528
