gene_symbol,Cdin1
pvalue,0.7343737
analysis_id,wuwx4p780r978m0
parameter_id,IMPC_GEL_057_001
mouse_strain,C57BL
parameter_name,Heart looping
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
