analysis_id,u9av680q89yh20m
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
pvalue,0.07786032
parameter_id,MGP_IMM_125_001
mouse_strain,C57BL
gene_symbol,Arpc5l
