analysis_id,vnnr51i4h3d36d6
parameter_id,IMPC_GEO_048_002
gene_accession_id,MGI:1916222
parameter_name,Anophthalmia
gene_symbol,Tatdn3
pvalue,0.9293431
mouse_life_stage,Early adult
mouse_strain,C57BL
