analysis_id,0939534e25c0xkg
gene_accession_id,MGI:1915678
parameter_id,MGP_IMM_071_001
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.6712564
gene_symbol,Steap3
