parameter_id,UCD_OWT_003_001
analysis_id,o437z2109v9p95p
gene_accession_id,MGI:99501
pvalue,0.1334911
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Spleen weight
gene_symbol,Fgb
