parameter_name,Zygomatic bone
mouse_strain,C57BL
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.3463924
analysis_id,63842d2yxpj813h
mouse_life_stage,Middle aged adult
parameter_id,IMPC_XRY_002_001
