analysis_id,s5259gl4q3c48cr
gene_symbol,Car13
parameter_id,MGP_IMM_101_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5784271
gene_accession_id,MGI:1931322
parameter_name,KLRG1+ NK cells - % of CD45+
