parameter_name,Percentage center time
analysis_id,g06vu6qv4o05138
pvalue,0.3808097
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
