parameter_name,Hindlimb digit - size
pvalue,0.6518187
mouse_life_stage,Late adult
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
analysis_id,04g5k41c0g95s18
gene_accession_id,MGI:2446274
