gene_symbol,Amigo1
analysis_id,3a369kd8okp74c2
mouse_life_stage,Early adult
pvalue,0.1000348
parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
gene_accession_id,MGI:2653612
