analysis_id,i6g333ga46wv179
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Middle aged adult
gene_symbol,AU040320
gene_accession_id,MGI:2140475
pvalue,0.3314204
parameter_id,IMPC_EYE_026_001
