parameter_id,IMPC_CBC_009_001
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_name,Calcium
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,03rtv47go2oyf3l
pvalue,0.27612
