parameter_name,Vibrissae - appearance
analysis_id,wijt02g8oj48920
parameter_id,HMGULA_DYS_024_001
pvalue,0.3663208
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2443129
gene_symbol,Golm2
