analysis_id,h07o3eic9s49f7z
parameter_id,IMPC_EYE_059_001
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_name,Mean right eye lens density
pvalue,0.1039994
mouse_strain,C57BL
mouse_life_stage,Early adult
