parameter_id,JAXLA_CBC_015_001
analysis_id,84o616y13p9t157
pvalue,0.6786795
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
parameter_name,Total cholesterol
gene_symbol,Ufc1
mouse_strain,C57BL
