analysis_id,4m84z952u0y4obv
parameter_name,CD4+ CD25+ alpha beta regulatory T cell percentage
pvalue,0.6049989
mouse_strain,C57BL
parameter_id,MGP_PBI_008_001
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
gene_symbol,Snap23
