analysis_id,555r33eb462ajg0
gene_symbol,Inpp1
parameter_name,Delayed embryonic development
gene_accession_id,MGI:104848
pvalue,0.1731575
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
