analysis_id,s42n8a9103868fj
parameter_id,ESLIM_011_001_702
gene_symbol,Ddx27
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_name,Prepulse inhibition - PP2
mouse_strain,129SV
pvalue,0.1267351
