gene_symbol,Sla2
gene_accession_id,MGI:1925049
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7949349
parameter_id,IMPC_GEL_027_001
analysis_id,h93819j975pz84k
parameter_name,Neural tube closure
