gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
mouse_strain,C57BL
analysis_id,1z57100b2b34v19
pvalue,0.52382
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
mouse_life_stage,Early adult
