analysis_id,t2ppso35t31u384
pvalue,0.2840963
parameter_name,Cholesterol ratio
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_id,IMPC_CBC_058_001
Gene_symbol,Inpp1
