parameter_name,Zygomatic bone
pvalue,0.8871957
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
mouse_life_stage,Early adult
gene_symbol,Trpa1
analysis_id,8mo82446xtz2068
