analysis_id,43n395e541hc46k
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
pvalue,0.284462
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
parameter_id,IMPC_GRS_009_001
mouse_life_stage,Early adult
