analysis_id,u234d265h84w460
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,MGP_IMM_036_001
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.3098413
gene_symbol,Ints7
