parameter_name,Hemoglobin
analysis_id,v8b1361jtp2249j
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.4637394
