gene_symbol,Col6a3
mouse_life_stage,Early adult
analysis_id,65t3p0we353sd31
parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
gene_accession_id,MGI:88461
pvalue,0.3245345
mouse_strain,C57BL
