gene_symbol,Slc39a10
parameter_id,MGP_IMM_016_001
gene_accession_id,MGI:1914515
pvalue,0.8258453
parameter_name,Naive CD8+ T cells - % of CD8+
analysis_id,t1yvsjbe3pbau0s
mouse_life_stage,E9.5
mouse_strain,C57BL
