parameter_name,Body Weight
pvalue,0.7302101
gene_symbol,Tbl1xr1
mouse_strain,C57BL
analysis_id,543cn99r63c8o9c
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
