parameter_name,Time mobile light side
gene_symbol,Opn3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
analysis_id,71y4954572mrctc
pvalue,0.07131851
gene_accession_id,MGI:1338022
