parameter_name,Glucose
gene_symbol,Nemp2
mouse_strain,C57BL
pvalue,0.09258393
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
analysis_id,2i44u110z9t382v
gene_accession_id,MGI:2444113
